Date,return_market
2020-01-31,-0.0016
2020-02-28,-0.0841
2020-03-31,-0.1251
2020-04-30,0.1268
2020-05-29,0.0453
2020-06-30,0.0184
2020-07-31,0.0551
2020-08-31,0.0701
2020-09-30,-0.0392
2020-10-30,-0.0277
2020-11-30,0.1075
2020-12-31,0.0371
2021-01-29,-0.0111
2021-02-26,0.0261
2021-03-31,0.0424
2021-04-30,0.0524
2021-05-31,0.0278
2021-06-30,0.0000
2021-07-30,0.0227
2021-08-31,0.0290
2021-09-30,-0.0476
2021-10-29,0.0691
2021-11-30,-0.0083
2021-12-31,0.0436
2022-01-31,-0.0526
2022-02-28,-0.0314
2022-03-31,0.0358
2022-04-29,-0.0880
2022-05-31,0.0001
2022-06-30,-0.0839
2022-07-29,0.0911
2022-08-31,-0.0424
2022-09-30,-0.0934
2022-10-31,0.0799
2022-11-30,0.0538
2022-12-30,-0.0590
