d,d_nj,fte,bk,kfc,roys,wendys,co_owned,centralj,southj,pa1,pa2,demp,State
1,1,13.1,0,1,1,1,1,0,1,1,1,12.5,New Jersey
1,1,19.3,0,1,1,1,1,0,1,1,1,7,New Jersey
1,1,18.8,1,1,0,1,1,0,1,1,1,-0.5,New Jersey
1,1,22.3,1,1,0,1,0,1,1,1,1,2.75,New Jersey
1,1,31.1,0,1,1,1,1,1,1,1,1,13.5,New Jersey
1,1,8.1,1,0,1,1,1,1,1,1,1,1.5,New Jersey
1,1,66.1,1,1,1,0,1,1,1,1,1,-27,New Jersey
1,1,25.6,0,1,1,1,1,1,1,1,1,17.5,New Jersey
1,1,44.8,1,1,1,0,1,1,0,1,1,8.5,New Jersey
1,1,9.7,1,1,1,0,1,1,0,1,1,6.5,New Jersey
1,1,15.9,0,1,1,1,1,1,1,1,1,0.5,New Jersey
1,1,32.1,1,1,0,1,0,1,1,1,1,-6,New Jersey
1,1,29.2,1,1,1,0,1,1,1,1,1,34.5,New Jersey
1,1,14,0,1,1,1,1,1,0,1,1,0.5,New Jersey
1,1,24.1,0,1,1,1,0,1,0,1,1,0,New Jersey
1,1,22.4,0,1,1,1,0,1,1,1,1,18,New Jersey
1,1,3.9,1,1,0,1,0,0,1,1,1,3.5,New Jersey
1,1,17.6,1,0,1,1,1,0,1,1,1,0,New Jersey
1,1,48.8,0,1,1,1,1,1,1,1,1,-17,New Jersey
1,1,10.9,1,0,1,1,0,0,1,1,1,-5,New Jersey
1,1,9.5,1,0,1,1,1,1,1,1,1,-2,New Jersey
1,1,15.9,1,0,1,1,1,0,1,1,1,4,New Jersey
1,1,22.1,1,1,0,1,1,1,1,1,1,-9,New Jersey
1,1,15.3,1,1,1,0,1,0,1,1,1,16,New Jersey
1,1,28.2,1,1,0,1,1,1,1,1,1,2.5,New Jersey
1,1,33.5,1,1,0,1,0,1,1,1,1,-2.5,New Jersey
1,1,45.3,1,1,1,0,1,1,1,1,1,-7.5,New Jersey
1,1,24.7,1,1,1,0,1,1,1,1,1,15.25,New Jersey
1,1,32.3,0,1,1,1,1,0,1,1,1,1,New Jersey
1,1,18.6,0,1,1,1,0,0,1,1,1,9,New Jersey
1,1,24,1,0,1,1,1,0,1,1,1,-1,New Jersey
1,1,23.6,1,1,1,0,1,1,1,1,1,4,New Jersey
1,1,11,1,0,1,1,0,0,1,1,1,1.25,New Jersey
1,1,31.6,1,1,0,1,1,0,1,1,1,-12.5,New Jersey
1,1,35.3,1,1,0,1,1,0,1,1,1,-9,New Jersey
1,1,30.9,1,1,1,0,1,0,1,1,1,-2,New Jersey
1,1,23.5,0,1,1,1,1,1,1,1,1,2,New Jersey
1,1,14.6,0,1,1,1,1,1,1,1,1,-5.25,New Jersey
1,1,23.4,0,1,1,1,1,1,1,1,1,3.5,New Jersey
1,1,9.5,0,1,1,1,1,1,1,1,1,-9.5,New Jersey
1,1,37.5,0,1,1,1,1,1,1,1,1,-22.25,New Jersey
1,1,12.2,1,0,1,1,1,1,1,1,1,3,New Jersey
1,1,36.4,1,1,0,1,0,1,1,1,1,12,New Jersey
1,1,31.3,1,1,0,1,0,1,1,1,1,-2.5,New Jersey
1,1,20.2,1,1,0,1,0,1,1,1,1,-7,New Jersey
1,1,31.2,1,1,1,0,1,1,1,1,1,-5,New Jersey
1,1,48.6,0,1,1,1,0,1,1,1,1,-5,New Jersey
1,1,24.9,0,1,1,1,0,1,1,1,1,11.5,New Jersey
1,1,15.1,1,1,0,1,1,1,1,1,1,0.25,New Jersey
1,1,24.1,1,1,0,1,0,1,1,1,1,-3.5,New Jersey
1,1,20,1,1,1,0,0,1,1,1,1,-3,New Jersey
1,1,39.2,0,1,1,1,1,1,1,1,1,-11,New Jersey
1,1,7.8,0,1,1,1,1,1,1,1,1,7.5,New Jersey
