"Year","Title","Budget","Worldwide","Release","Duration","MPAA.Rating","IMDB.Rating","Genre","Award","Nomination","MPAA.Category","Month","Profitability","CPI","Profitability.Adjusted","Worldwide.Adjusted","Budget.Adjusted"
"2019","The Cotton Club",4.8e+07,25928721,"14/12/2019",129,"R",6.5,"Crime",0,0,"X",12,-22071279,255.7,-32773670.3850174,38501590.9390244,71275261.3240418
"2019","Superman II",5.4e+07,190400000,"19/6/2019",127,"PG",6.8,"Action",0,0,"PG",6,136400000,255.7,202540534.262486,282725203.252033,80184668.989547
"2019","Stone Cold",2.5e+07,9286314,"17/5/2019",92,"R",6,"Action",0,0,"X",5,-15713686,255.7,-23333272.416957,13789259.5226481,37122531.9396051
"2019","Blue Streak",3.6e+07,117448157,"17/9/2019",93,"PG-13",6.3,"Action",0,0,"TV-MA",9,81448157,255.7,120942472.386179,174398918.37921,53456445.9930314
"2019","Message in a Bottle",3e+07,52880016,"12/2/2019",126,"PG-13",6.2,"Drama",0,0,"TV-MA",2,22880016,255.7,33974564.989547,78521603.3170732,44547038.3275261
"2019","Star Wars Ep. I: The Phantom Menace",1.15e+08,1027044677,"19/5/2019",136,"PG",6.5,"Action",0,0,"PG",5,912044677,255.7,1354296306.09117,1525059953.01336,170763646.922184
"2019","Friday the 13th Part VIII: Jason Takes Manhattan",5e+06,14343976,"28/7/2019",100,"R",4.5,"Adventure",0,0,"X",7,9343976,255.7,13874881.9001161,21299388.2880372,7424506.38792102
"2019","Cry Freedom",2.9e+07,25899797,"6/11/2019",157,"PG",7.4,"Biography",0,0,"PG",11,-3100203,255.7,-4603495.39547038,38458641.6544715,43062137.0499419
"2019","Showgirls",4e+07,37750754,"6/1/2019",128,"NC-17",5,"Drama",0,0,"TV-MA",1,-2249246,255.7,-3339908.25900116,56056142.844367,59396051.1033682
"2019","UHF",5e+06,6157157,"21/7/2019",97,"PG-13",6.9,"Comedy",0,0,"TV-MA",7,1157157,255.7,1718263.90766551,9142770.29558653,7424506.38792102
"2019","Snow Falling on Cedars",3.6e+07,14378353,"24/12/2019",127,"PG-13",6.8,"Drama",0,0,"TV-MA",12,-21621647,255.7,-32106011.2537747,21350434.7392567,53456445.9930314
"2019","Die Hard 2",7e+07,239813888,"3/7/2019",124,"R",7.1,"Action",0,0,"X",7,169813888,255.7,252156859.242741,356099948.673635,103943089.430894
"2019","Disturbing Behavior",1.5e+07,19014238,"24/7/2019",84,"R",5.6,"Horror",0,0,"X",7,4014238,255.7,5960747.13472706,28234266.2984901,22273519.1637631
"2019","Payback",5e+07,161626121,"5/2/2019",100,"R",7.1,"Action",0,0,"X",2,111626121,255.7,165753769.684669,239998833.563879,74245063.8792102
"2019","Rambo III",5.8e+07,188715611,"25/5/2019",102,"R",5.8,"Action",0,0,"X",5,130715611,255.7,194099777.7741,280224051.873984,86124274.0998839
"2019","Awakenings",2.9e+07,51636504,"19/12/2019",121,"PG-13",7.8,"Biography",0,0,"TV-MA",12,22636504,255.7,33612973.70964,76675110.7595819,43062137.0499419
"2019","Bill & Ted’s Excellent Adventure",1e+07,40510111,"17/2/2019",90,"PG",6.9,"Adventure",0,0,"PG",2,30510111,255.7,45304502.8031359,60153515.5789779,14849012.775842
"2019","Stepmom",5e+07,159745279,"25/12/2019",125,"PG-13",6.8,"Comedy",0,0,"TV-MA",12,109745279,255.7,162960904.995935,237205968.875145,74245063.8792102
"2019","The Ice Pirates",9e+06,13075390,"16/3/2019",91,"PG",5.6,"Action",0,0,"PG",3,4075390,255.7,6051551.81765389,19415663.3159117,13364111.4982578
"2019","Lolita",5.5e+07,1147784,"22/7/2019",137,"R",6.8,"Drama",0,0,"X",7,-53852216,255.7,-79965224.3391405,1704345.92799071,81669570.2671313
"2019","G.I. Jane",5e+07,48169156,"22/8/2019",125,"R",6,"Action",0,0,"X",8,-1830844,255.7,-2718622.59465738,71526441.2845529,74245063.8792102
"2019","Medicine Man",4e+07,44948240,"7/2/2019",106,"PG-13",6,"Adventure",0,0,"TV-MA",2,4948240,255.7,7347647.89779326,66743699.0011614,59396051.1033682
"2019","Pirates",4e+07,6341825,"1/7/2019",143,"PG-13",8.1,"Action",0,0,"TV-MA",7,-33658175,255.7,-49979067.0586527,9416984.04471545,59396051.1033682
"2019","Michael Collins",2.5e+07,27572844,"11/10/2019",133,"R",7.1,"Biography",0,0,"X",10,2572844,255.7,3820419.34262486,40942951.28223,37122531.9396051
"2019","Ransom",7e+07,308700000,"8/11/2019",121,"R",6.7,"Action",0,0,"X",11,238700000,255.7,354445934.95935,458389024.390244,103943089.430894
"2019","Gettysburg",2.5e+07,10731997,"8/10/2019",271,"PG",7.6,"Drama",0,0,"PG",10,-14268003,255.7,-21186575.8832753,15935956.0563299,37122531.9396051
"2019","Smilla's Sense of Snow",3.5e+07,2221994,"28/2/2019",121,"R",6.3,"Crime",0,0,"X",2,-32778006,255.7,-48672102.9860627,3299441.72938444,51971544.7154472
"2019","Wing Commander",3e+07,11578022,"12/3/2019",100,"PG-13",4.3,"Action",0,0,"TV-MA",3,-18421978,255.7,-27354818.6678281,17192219.659698,44547038.3275261
"2019","Mortal Kombat",2e+07,122133227,"18/8/2019",110,"R",6.1,"Action",0,0,"X",8,102133227,255.7,151657759.256098,181355784.807782,29698025.5516841
